Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, 
510819, 1977383.965514557, 103, 525462, 1645054.860845693, 117, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 525462, 1644213.0533569476, 118, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 523815, 1630992.7963657363, 119, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 520977, 1612259.791527116, 120, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 520131, 1604605.958836327, 121, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 517466, 1572959.5910146583, 122, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 517466, 1568699.5423375727, 123, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 517466, 1565443.6836669, 124, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 519138, 1563633.3337959151, 125, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 519456, 1558133.5933940387, 126, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 519456, 1556428.4233885473, 127, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 523003, 1577416.2014511467, 128, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 522955, 1571661.6722129863, 129, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
510819, 1977383.965514557, 103, 533026, 1683438.3695689687, 130, 527120, 2073798.908286243, 103, 528771, 1981009.3384217683, 103, 
511262, 1971539.6745543436, 131, 532779, 1680225.2798142405, 131, 525765, 2063898.0806336727, 131, 523688, 1947028.1596823563, 131, 
512208, 1961187.5491266355, 132, 532693, 1671844.5855710318, 132, 528187, 2047022.6259683918, 132, 523101, 1924020.1771671867, 132, 
